EEID,Full Name,Job Title,Department,Business Unit,Age,Gender,Ethnicity,City,Country,Hire Date,Exit Date,Annual Salary,Bonus %
E02387,Emily Davis,Sr. Manger,IT,Research & Development,55,Female,Black,Seattle,United States,4/8/2016,10/16/2021,$141604,15% 
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,59,Male,Asian,Chongqing,China,11/29/1997,,$99975,0% 
E02572,Luna Sanders,Director,Finance,Speciality Products,50,Female,Caucasian,Chicago,United States,10/26/2006,,$163099,20% 
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,26,Female,Caucasian,Chicago,United States,9/27/2019,,$84913,7% 
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,55,Male,Asian,Phoenix,United States,11/20/1995,,$95409,0% 
E00644,Joshua Gupta,Account Representative,Sales,Corporate,57,Male,Asian,Chongqing,China,1/24/2017,,$50994,0% 
E01550,Ruby Barnes,Manager,IT,Corporate,27,Female,Caucasian,Phoenix,United States,7/1/2020,,$119746,10% 
E04332,Luke Martin,Analyst,Finance,Manufacturing,25,Male,Black,Miami,United States,5/16/2020,5/20/2021,$41336,0% 
E04533,Easton Bailey,Manager,Accounting,Manufacturing,29,Male,Caucasian,Austin,United States,1/25/2019,,$113527,6% 
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,34,Female,Caucasian,Chicago,United States,6/13/2018,,$77203,0% 
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,36,Female,Asian,Miami,United States,2/11/2009,,$157333,15% 
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,27,Female,Caucasian,Seattle,United States,10/21/2021,,$109851,0% 
E00530,Eli Jones,Manager,Human Resources,Manufacturing,59,Male,Caucasian,Austin,United States,3/14/1999,,$105086,9% 
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,51,Female,Asian,Shanghai,China,6/10/2021,,$146742,10% 
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,31,Male,Asian,Austin,United States,11/4/2017,3/9/2020,$97078,0% 
E00549,Isabella Xi,Vice President,Marketing,Research & Development,41,Female,Asian,Seattle,United States,3/13/2013,,$249270,30% 
E00163,Bella Powell,Director,Finance,Research & Development,65,Female,Black,Phoenix,United States,3/4/2002,,$175837,20% 
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,64,Female,Latino,Seattle,United States,12/1/2003,,$154828,13% 
E04116,David Barnes,Director,IT,Corporate,64,Male,Caucasian,Columbus,United States,11/3/2013,,$186503,24% 
E04625,Adam Dang,Director,Sales,Research & Development,45,Male,Asian,Chongqing,China,7/9/2002,,$166331,18% 
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,56,Male,Latino,Manaus,Brazil,1/9/2012,,$146140,10% 
E04732,Eva Rivera,Director,Sales,Manufacturing,36,Female,Latino,Miami,United States,4/2/2021,,$151703,21% 
E03484,Logan Rivera,Director,IT,Research & Development,59,Male,Latino,Rio de Janerio,Brazil,5/24/2002,,$172787,28% 
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,37,Male,Caucasian,Seattle,United States,9/5/2019,,$49998,0% 
E02071,Mateo Her,Vice President,Sales,Speciality Products,44,Male,Asian,Chongqing,China,3/2/2014,,$207172,31% 
E02206,Jose Henderson,Director,Human Resources,Speciality Products,41,Male,Black,Columbus,United States,4/17/2015,,$152239,23% 
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,56,Female,Latino,Rio de Janerio,Brazil,2/5/2005,,$98581,0% 
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,43,Male,Asian,Seattle,United States,6/7/2004,,$246231,31% 
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,64,Male,Asian,Beijing,China,12/4/1996,,$99354,12% 
E00304,Dylan Choi,Vice President,IT,Corporate,63,Male,Asian,Beijing,China,5/11/2012,,$231141,34% 
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,28,Male,Asian,Columbus,United States,6/25/2017,,$54775,0% 
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,65,Male,Latino,Manaus,Brazil,5/16/2004,,$55499,0% 
E01994,Angel Powell,Analyst II,Sales,Research & Development,61,Male,Caucasian,Seattle,United States,7/11/2008,,$66521,0% 
E03549,Mateo Vu,Account Representative,Sales,Speciality Products,30,Male,Asian,Chongqing,China,9/29/2016,,$59100,0% 
E03247,Caroline Jenkins,Analyst,Finance,Research & Development,27,Female,Caucasian,Chicago,United States,5/6/2018,,$49011,0% 
E02074,Nora Brown,Enterprise Architect,IT,Manufacturing,32,Female,Caucasian,Austin,United States,2/11/2014,,$99575,0% 
E04152,Adeline Huang,Controls Engineer,Engineering,Manufacturing,34,Female,Asian,Chengdu,China,12/16/2019,,$99989,0% 
E01628,Jackson Perry,Vice President,Marketing,Research & Development,27,Male,Caucasian,Phoenix,United States,10/20/2019,,$256420,30% 
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,35,Female,Latino,Miami,United States,5/15/2013,,$78940,0% 
E01417,Leah Pena,Enterprise Architect,IT,Corporate,57,Female,Latino,Manaus,Brazil,1/3/1994,,$82872,0% 
E01754,Owen Lam,Sr. Business Partner,Human Resources,Speciality Products,30,Male,Asian,Chengdu,China,5/29/2017,7/16/2017,$86317,0% 
E03749,Kennedy Foster,Manager,Marketing,Speciality Products,53,Female,Caucasian,Austin,United States,11/23/2013,,$113135,5% 
E03574,John Moore,Vice President,IT,Speciality Products,52,Male,Caucasian,Seattle,United States,11/8/2005,,$199808,32% 
E04600,William Vu,Account Representative,Sales,Speciality Products,37,Male,Asian,Shanghai,China,11/14/2013,,$56037,0% 
E00586,Sadie Washington,Sr. Manger,Marketing,Research & Development,29,Female,Caucasian,Phoenix,United States,5/24/2019,,$122350,12% 
E03538,Gabriel Holmes,Enterprise Architect,IT,Research & Development,40,Male,Caucasian,Seattle,United States,11/4/2010,,$92952,0% 
E02185,Wyatt Rojas,Computer Systems Manager,IT,Corporate,32,Male,Latino,Austin,United States,3/20/2013,,$79921,5% 
E03830,Eva Coleman,Director,IT,Research & Development,37,Female,Black,Seattle,United States,9/20/2009,,$167199,20% 
E03720,Dominic Clark,Quality Engineer,Engineering,Research & Development,52,Male,Caucasian,Phoenix,United States,10/17/2012,,$71476,0% 
E03025,Lucy Alexander,Director,Engineering,Manufacturing,45,Female,Caucasian,Seattle,United States,10/29/2014,,$189420,20% 
E04917,Everleigh Washington,HRIS Analyst,Human Resources,Research & Development,64,Female,Caucasian,Phoenix,United States,10/20/2001,,$64057,0% 
E00415,Leilani Butler,Analyst II,Marketing,Manufacturing,27,Female,Black,Phoenix,United States,9/21/2021,,$68728,0% 
E02862,Peyton Huang,Sr. Manger,IT,Manufacturing,25,Female,Asian,Beijing,China,7/2/2021,,$125633,11% 
E04207,John Contreras,Analyst II,Marketing,Manufacturing,35,Male,Latino,Columbus,United States,5/15/2011,,$66889,0% 
E02139,Rylee Yu,Director,Accounting,Research & Development,36,Female,Asian,Seattle,United States,9/29/2015,,$178700,29% 
E01797,Piper Lewis,Field Engineer,Engineering,Research & Development,33,Female,Caucasian,Chicago,United States,12/22/2018,,$83990,0% 
E01839,Stella Alexander,Automation Engineer,Engineering,Corporate,52,Female,Caucasian,Chicago,United States,12/10/2005,,$102043,0% 
E01633,Addison Do,Operations Engineer,Engineering,Manufacturing,46,Female,Asian,Columbus,United States,5/30/2001,,$90678,0% 
E01848,Zoey Jackson,Business Partner,Human Resources,Manufacturing,46,Female,Black,Miami,United States,8/21/2008,,$59067,0% 
E00716,John Chow,Sr. Manger,Marketing,Research & Development,45,Male,Asian,Chengdu,China,3/11/2021,,$135062,15% 
E00699,Ava Ayala,Sr. Manger,IT,Corporate,55,Female,Latino,Manaus,Brazil,8/16/2006,,$159044,10% 
E00502,Natalia Salazar,Sr. Analyst,Accounting,Manufacturing,44,Female,Latino,Manaus,Brazil,1/2/2019,7/8/2020,$74691,0% 
