EmpID,FirstName,LastName,Age,GenderCode,Title,DepartmentType,MonthlySalary,Bonus,AnnualSalary,EmployeeStatus,EmployeeType,WEmail,BusinessUnit,Supervisor,ExitDate,StartDate,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,Division,DOB,State,JobFunctionDescription,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
2834,Madyson,Silva,82,Female,Production Technician I,Production       ,665,92.79,9093.48,Active,Full-Time,Madyson.Silva@mwd.com,SVG,Bonnie Bell,2020-09-16T18:30:00.000Z,2018-10-01T18:30:00.000Z,Zone A,Full-Time,Involuntary,Be minute last meet former. Rich her account top.,General - Con,16-11-1943,MA,Technician,95191,Asian,Divorced,Fully Meets,5
1236,Ramon,Goodwin,79,Female,Production Technician II,Production       ,665,86.74,9020.88,Voluntarily Terminated,Part-Time,Ramon.Goodwin@mwd.com,BPC,Tina Morgan,2019-07-24T18:30:00.000Z,2018-11-24T18:30:00.000Z,Zone B,Full-Time,Retirement,Source join scientist personal when each.,Field Operations,11-12-1946,MA,Laborer,95167,White,Married,Fully Meets,3
3960,Andreas,Torres,78,Male,CIO,IT/IS,665,84.89,8998.68,Active,Part-Time,Andreas.Torres@mwd.com,WBL,Guy Hansen,,2018-08-10T18:30:00.000Z,Zone A,Full-Time,Unk,,Field Operations,05-04-1947,TX,Laborer,95490,White,Married,Fully Meets,3
3534,Lee,Frye,66,Female,Area Sales Manager,Sales,679,69.05,8976.6,Active,Full-Time,Lee.Frye@mwd.com,TNS,Sonia Diaz,,2018-09-13T18:30:00.000Z,Zone A,Full-Time,Unk,,Engineers,16-08-1959,KY,Engineer,97002,Asian,Single,Fully Meets,4
2769,Paris,Blake,75,Male,Production Technician I,Production       ,665,79.8,8937.6,Active,Contract,Paris.Blake@mwd.com,NEL,Robert Brooks,,2018-11-07T18:30:00.000Z,Zone A,Part-Time,Unk,,Aerial,31-08-1950,MA,Foreman,95073,Other,Widowed,Fully Meets,4
2879,Trystan,Fernandez,63,Male,Production Technician I,Production       ,679,65.71,8936.52,Active,Full-Time,Trystan.Fernandez@mwd.com,PYZ,Cory Freeman,,2018-12-19T18:30:00.000Z,Zone A,Full-Time,Unk,,Executive,15-11-1962,MA,Vp,97759,Black,Married,Fully Meets,2
1158,Chaya,Boyd,67,Male,Production Technician I,Production       ,672,69.52,8898.24,Voluntarily Terminated,Full-Time,Chaya.Boyd@mwd.com,SVG,Sean Ellis,2020-07-18T18:30:00.000Z,2018-11-21T18:30:00.000Z,Zone A,Full-Time,Resignation,Himself final success these or card strategy.,Field Operations,04-07-1958,MA,Technician,96001,Asian,Widowed,Fully Meets,3
2612,Amiya,Richardson,62,Male,Area Sales Manager,Sales,665,63.33,8739.96,Active,Part-Time,Amiya.Richardson@mwd.com,WBL,Jacob Nelson,2019-12-18T18:30:00.000Z,2018-08-26T18:30:00.000Z,Zone B,Part-Time,Retirement,Site cut debate own born six.,Field Operations,01-07-1963,ID,Driller,95112,White,Married,Fully Meets,4
2508,Selina,Tapia,53,Male,BI Developer,IT/IS,672,56,8736,Active,Full-Time,Selina.Tapia@mwd.com,SVG,Kelsey Cochran,,2018-11-17T18:30:00.000Z,Zone A,Part-Time,Unk,,Field Operations,20-06-1972,MA,Technician,96865,Other,Single,Fully Meets,5
3974,Zander,Franco,39,Male,Data Architect,IT/IS,679,47.37,8716.44,Terminated for Cause,Part-Time,Zander.Franco@mwd.com,BPC,Ronnie Garcia,2019-07-09T18:30:00.000Z,2018-12-24T18:30:00.000Z,Zone C,Full-Time,Involuntary,Way appear summer strong.,General - Eng,07-01-1986,TX,Engineer,97255,Other,Married,Exceeds,3
1988,Juliana,Dyer,36,Female,Production Technician I,Production       ,679,45.78,8697.36,Active,Contract,Juliana.Dyer@mwd.com,TNS,Lisa Jones,2019-08-18T18:30:00.000Z,2018-11-22T18:30:00.000Z,Zone A,Temporary,Retirement,Seven president one. Wind education reveal old.,Field Operations,26-10-1989,MA,Laborer,97548,Black,Single,Fully Meets,3
2666,Kaylyn,Frye,79,Female,Area Sales Manager,Sales,637,83.09,8641.08,Active,Part-Time,Kaylyn.Frye@mwd.com,PL,Taylor Lopez,2022-01-07T18:30:00.000Z,2018-11-06T18:30:00.000Z,Zone C,Full-Time,Retirement,Audience run degree that your beyond cell.,Yard (Material Handling),19-01-1946,WA,Runner,91544,Other,Single,Fully Meets,4
1515,Shaylee,Hall,28,Female,Production Technician II,Production       ,672,41.57,8562.84,Active,Full-Time,Shaylee.Hall@mwd.com,SVG,Catherine Durham,,2018-09-25T18:30:00.000Z,Zone B,Part-Time,Unk,,General - Con,18-04-1997,MA,Laborer,96974,Other,Married,Fully Meets,3
2297,Deandre,Richard,67,Female,Production Manager,Production       ,644,66.62,8527.44,Voluntarily Terminated,Part-Time,Deandre.Richard@mwd.com,WBL,Christine Adams,2019-09-24T18:30:00.000Z,2018-12-17T18:30:00.000Z,Zone C,Full-Time,Resignation,Gas place rich dog process movement along.,Aerial,23-09-1958,MA,Laborer,92649,Black,Single,Fully Meets,2
2089,Ethan,Rhodes,59,Female,Production Technician I,Production       ,651,59.18,8522.16,Active,Contract,Ethan.Rhodes@mwd.com,TNS,Zachary Hanson,2020-07-03T18:30:00.000Z,2018-12-28T18:30:00.000Z,Zone C,Part-Time,Voluntary,Upon situation late.,Technology / It,04-06-1966,MA,Director,93414,White,Married,Fully Meets,3
1550,Kyle,Peck,64,Female,Production Technician I,Production       ,644,63.34,8488.08,Active,Full-Time,Kyle.Peck@mwd.com,BPC,David Bullock,2020-08-11T18:30:00.000Z,2018-09-18T18:30:00.000Z,Zone A,Temporary,Retirement,Name maybe wear yet.,Field Operations,15-08-1961,MA,Technician,92807,Black,Widowed,Fully Meets,3
2156,Ariel,Osborn,36,Female,Production Technician I,Production       ,658,44.36,8428.32,Active,Part-Time,Ariel.Osborn@mwd.com,MSC,Melissa Glass,2020-03-13T18:30:00.000Z,2018-09-10T18:30:00.000Z,Zone B,Temporary,Voluntary,Over still care thought to.,Executive,29-01-1989,MA,Manager,94916,Black,Widowed,Exceeds,3
1072,Fernando,Mcconnell,48,Female,Software Engineer,Software Engineering,651,50.73,8420.76,Active,Part-Time,Fernando.Mcconnell@mwd.com,BPC,Teresa Lopez,,2018-12-26T18:30:00.000Z,Zone C,Part-Time,Unk,,Field Operations,20-01-1977,MA,Operator,93329,Asian,Widowed,Fully Meets,3
2423,Yael,Garcia,48,Male,President & CEO,Production       ,651,50.73,8420.76,Active,Contract,Yael.Garcia@mwd.com,PYZ,Tina Lopez,,2018-10-09T18:30:00.000Z,Zone A,Full-Time,Unk,,General - Con,10-11-1977,MA,Laborer,93897,Asian,Divorced,Fully Meets,1
1633,Miley,French,31,Female,Area Sales Manager,IT/IS,658,42,8400,Active,Contract,Miley.French@mwd.com,EW,Sandra Gardner,2019-03-12T18:30:00.000Z,2018-10-21T18:30:00.000Z,Zone B,Temporary,Involuntary,Establish hotel up value property.,Field Operations,05-05-1994,MA,Laborer,94379,Black,Widowed,Fully Meets,3
1220,Levi,Lawson,76,Female,Production Technician I,Production       ,623,76.29,8391.48,Voluntarily Terminated,Full-Time,Levi.Lawson@mwd.com,CCDR,Terry Flores,2020-02-08T18:30:00.000Z,2018-11-19T18:30:00.000Z,Zone C,Temporary,Voluntary,Center positive their garden industry.,Executive,31-12-1949,MA,Vp,89298,Asian,Single,Fully Meets,3
2375,Selena,Adkins,67,Male,Data Analyst,IT/IS,630,65.17,8342.04,Active,Contract,Selena.Adkins@mwd.com,TNS,Eric Campbell,,2018-09-12T18:30:00.000Z,Zone B,Full-Time,Unk,,General - Con,02-11-1958,MA,Foreman,90110,Black,Single,Fully Meets,1
3109,Samara,Roberson,26,Female,Production Technician I,Production       ,651,39.45,8285.4,Active,Full-Time,Samara.Roberson@mwd.com,CCDR,Timothy Myers,,2018-10-19T18:30:00.000Z,Zone A,Temporary,Unk,,Fielders,25-04-1999,MA,Engineer,93749,White,Married,PIP,2
1892,Saniya,Buck,39,Female,Production Technician II,Production       ,637,44.44,8177.28,Active,Contract,Saniya.Buck@mwd.com,TNS,Nicholas Anderson,,2018-08-06T18:30:00.000Z,Zone A,Temporary,Unk,,Aerial,30-05-1986,MA,Technician,91219,Asian,Single,Fully Meets,3
1024,Kasey,Boyer,38,Female,Shared Services Manager,Software Engineering,637,43.93,8171.16,Active,Contract,Kasey.Boyer@mwd.com,NEL,Chad Andrews,2021-06-22T18:30:00.000Z,2018-12-29T18:30:00.000Z,Zone A,Part-Time,Involuntary,Free may every real agency as blue maintain.,Fielders,30-03-1987,MA,Coordinator,91332,Other,Divorced,Fully Meets,3
2240,Pedro,Nelson,28,Female,IT Support,IT/IS,637,39.4,8116.8,Active,Part-Time,Pedro.Nelson@mwd.com,SVG,Erika Green,,2018-12-04T18:30:00.000Z,Zone B,Part-Time,Unk,,Finance & Accounting,28-11-1997,MA,Accounting,91567,Hispanic,Married,Fully Meets,2
2397,Marcos,Sloan,35,Female,Production Manager,Production       ,630,42,8064,Active,Part-Time,Marcos.Sloan@mwd.com,TNS,Barry Powell,2019-04-28T18:30:00.000Z,2018-09-18T18:30:00.000Z,Zone B,Full-Time,Retirement,Husband should TV sport message friend history.,Field Operations,22-08-1990,MA,Laborer,90692,Other,Widowed,Fully Meets,2
2075,Oliver,Richardson,49,Female,Production Technician I,Production       ,616,48.63,7975.56,Active,Contract,Oliver.Richardson@mwd.com,NEL,Vicki Ortega,,2018-10-29T18:30:00.000Z,Zone A,Full-Time,Unk,,Project Management - Con,13-10-1976,MA,Manager,88221,Other,Married,Fully Meets,3
2366,Reese,Kennedy,81,Female,Production Manager,Production       ,581,79.23,7922.76,Terminated for Cause,Full-Time,Reese.Kennedy@mwd.com,NEL,Terri Morris,2021-05-24T18:30:00.000Z,2018-11-15T18:30:00.000Z,Zone B,Part-Time,Retirement,Factor strategy defense citizen.,Fielders,22-07-1944,MA,Engineer,83442,Asian,Divorced,Fully Meets,2
1434,Ayla,Roberts,39,Female,Production Technician I,Production       ,616,42.98,7907.76,Active,Part-Time,Ayla.Roberts@mwd.com,EW,Desiree Martinez,2023-03-29T18:30:00.000Z,2018-12-29T18:30:00.000Z,Zone C,Part-Time,Voluntary,Brother work amount rock newspaper.,Splicing,28-12-1986,MA,Splicer,88408,White,Divorced,Exceeds,3
2386,Uriel,Brennan,50,Female,Production Manager,Production       ,609,48.72,7892.64,Active,Part-Time,Uriel.Brennan@mwd.com,CCDR,Tyler Christian,,2018-12-13T18:30:00.000Z,Zone B,Part-Time,Unk,,Finance & Accounting,25-12-1975,MA,Administrative,87401,Black,Widowed,Fully Meets,1
3315,Amy,Pace,68,Female,Production Technician I,Production       ,595,62.63,7891.56,Voluntarily Terminated,Full-Time,Amy.Pace@mwd.com,WBL,Crystal Richmond,2020-03-17T18:30:00.000Z,2018-10-12T18:30:00.000Z,Zone C,Temporary,Involuntary,Director include student.,Field Operations,15-04-1957,MA,Locator,85181,Other,Widowed,Fully Meets,3
2906,Anabel,Hanna,46,Male,Production Technician II,Production       ,609,46.25,7863,Active,Contract,Anabel.Hanna@mwd.com,PYZ,Anthony Mcguire,,2018-10-01T18:30:00.000Z,Zone B,Part-Time,Unk,,Field Operations,11-02-1979,MA,Technician,87232,Asian,Divorced,Needs Improvement,5
2515,Mayra,Lynn,29,Male,Director of Sales,IT/IS,616,38.5,7854,Active,Contract,Mayra.Lynn@mwd.com,NEL,Michael Perez,,2018-09-10T18:30:00.000Z,Zone A,Full-Time,Unk,,General - Sga,10-06-1996,MA,Administrator,88143,Hispanic,Single,Fully Meets,4
3898,Anaya,Preston,77,Male,Sr. Network Engineer,IT/IS,581,72.62,7843.44,Leave of Absence,Part-Time,Anaya.Preston@mwd.com,PL,Denise Oconnor,2023-02-10T18:30:00.000Z,2018-12-13T18:30:00.000Z,Zone C,Temporary,Retirement,Cut during return could hit view born present.,General - Con,11-07-1948,CT,Lineman,83611,Asian,Single,Fully Meets,3
2729,David,Kirk,77,Female,Area Sales Manager,Sales,581,72.62,7843.44,Active,Part-Time,David.Kirk@mwd.com,NEL,Kathryn Kidd DVM,,2018-12-09T18:30:00.000Z,Zone B,Full-Time,Unk,,Engineers,10-03-1948,WA,Engineer,83077,Hispanic,Divorced,Fully Meets,2
3652,Owen,Dillon,79,Male,Production Technician I,Production       ,576,75.13,7813.56,Voluntarily Terminated,Part-Time,Owen.Dillon@mwd.com,NEL,Victoria Maldonado,2022-08-26T18:30:00.000Z,2019-08-29T18:30:00.000Z,Zone C,Part-Time,Resignation,Window stuff western interesting.,Field Operations,16-08-1946,MA,Supervisor,96845,Other,Married,Fully Meets,3
2654,Lauryn,Anthony,70,Male,Area Sales Manager,Sales,582,63.49,7745.88,Active,Full-Time,Lauryn.Anthony@mwd.com,WBL,Mark Hernandez,2020-01-06T18:30:00.000Z,2019-08-21T18:30:00.000Z,Zone C,Temporary,Resignation,Stay herself cultural pass large.,General - Con,09-07-1955,MA,Operator,97492,Black,Divorced,Fully Meets,4
3995,Cortez,Murillo,79,Female,Database Administrator,IT/IS,570,74.35,7732.2,Active,Full-Time,Cortez.Murillo@mwd.com,NEL,Stuart White,2021-05-31T18:30:00.000Z,2019-07-14T18:30:00.000Z,Zone A,Temporary,Resignation,Or break sea say owner. Often guy local.,Wireline Construction,08-12-1946,MA,Project Manager,95641,Black,Widowed,Exceeds,3
2312,Maximilian,Carney,74,Male,Data Analyst,IT/IS,576,67.76,7725.12,Active,Full-Time,Maximilian.Carney@mwd.com,WBL,Samantha Barnett,,2019-11-25T18:30:00.000Z,Zone C,Part-Time,Unk,,Field Operations,11-12-1951,MA,Laborer,96303,Asian,Widowed,Fully Meets,4
1427,Jean,Duffy,72,Male,Production Technician II,Production       ,576,65.21,7694.52,Active,Full-Time,Jean.Duffy@mwd.com,CCDR,Barry Payne,,2019-02-21T18:30:00.000Z,Zone A,Part-Time,Unk,,Engineers,09-05-1953,MA,Project Manager,96208,Asian,Divorced,Needs Improvement,3
2183,Bria,Bush,76,Female,Production Technician I,Production       ,567,69.43,7637.16,Active,Contract,Bria.Bush@mwd.com,SVG,Vickie Garrett,,2018-12-12T18:30:00.000Z,Zone C,Full-Time,Unk,,Finance & Accounting,12-09-1949,MA,Manager,81415,White,Divorced,Exceeds,5
2667,Marisol,Alvarez,60,Female,Administrative Assistant,Sales,582,53.72,7628.64,Active,Full-Time,Marisol.Alvarez@mwd.com,BPC,Joshua Brown,2021-08-24T18:30:00.000Z,2019-10-02T18:30:00.000Z,Zone B,Part-Time,Retirement,Environment state tax sound stop group doctor.,Billable Consultants,08-10-1965,WA,Engineer,9760,Other,Widowed,Fully Meets,2
1206,Bethany,Terry,69,Female,Production Technician I,Production       ,574,61.5,7626,Active,Part-Time,Bethany.Terry@mwd.com,PYZ,Richard Scott,2023-05-14T18:30:00.000Z,2018-12-27T18:30:00.000Z,Zone C,Part-Time,Voluntary,Various step without couple within at gun.,Engineers,15-02-1956,MA,Drafter,82378,White,Divorced,Fully Meets,3
1457,Jadiel,French,48,Female,Production Technician I,Production       ,588,45.82,7605.84,Active,Contract,Jadiel.French@mwd.com,SVG,Linda Boyer,,2018-11-22T18:30:00.000Z,Zone A,Part-Time,Unk,,Field Operations,03-08-1977,MA,Driller,84889,Other,Married,Exceeds,3
1443,Armani,Crawford,65,Female,Production Technician I,Production       ,576,57.6,7603.2,Active,Contract,Armani.Crawford@mwd.com,SVG,Robert Carter,,2019-08-03T18:30:00.000Z,Zone C,Part-Time,Unk,,Field Operations,25-02-1960,MA,Technician,96317,White,Divorced,Needs Improvement,3
2534,Iyana,Benjamin,65,Male,IT Director,IT/IS,576,57.6,7603.2,Active,Part-Time,Iyana.Benjamin@mwd.com,BPC,Scott Moore,2021-05-22T18:30:00.000Z,2019-04-14T18:30:00.000Z,Zone B,Temporary,Retirement,Manager since future contain play.,Project Management - Con,05-07-1960,MA,Coordinator,96561,Other,Divorced,Fully Meets,1
1605,Izaiah,Quinn,69,Female,Production Technician I,Production       ,570,61.07,7572.84,Voluntarily Terminated,Full-Time,Izaiah.Quinn@mwd.com,NEL,Mark Marks,2020-10-07T18:30:00.000Z,2019-04-26T18:30:00.000Z,Zone B,Full-Time,Resignation,West hold these man affect heavy from myself.,Field Operations,20-10-1956,MA,Laborer,95266,Black,Single,Exceeds,3
2457,George,Meyers,64,Male,Production Manager,Production       ,574,56.46,7565.52,Active,Part-Time,George.Meyers@mwd.com,PL,David Fox,,2018-08-23T18:30:00.000Z,Zone A,Part-Time,Unk,,Field Operations,14-04-1961,MA,Groundman,82947,Hispanic,Single,Fully Meets,2
3551,Emery,Roach,71,Male,Area Sales Manager,Sales,567,63,7560,Active,Part-Time,Emery.Roach@mwd.com,PYZ,Victoria Bailey,,2018-08-10T18:30:00.000Z,Zone C,Part-Time,Unk,,Engineers,04-07-1954,TX,Engineer,81142,Black,Married,Needs Improvement,4
2557,Davion,Vasquez,61,Female,BI Developer,IT/IS,576,54,7560,Active,Full-Time,Davion.Vasquez@mwd.com,MSC,Jo Ruiz,,2019-09-19T18:30:00.000Z,Zone B,Temporary,Unk,,Engineers,17-06-1964,MA,Engineer,96051,Black,Married,Fully Meets,2
2946,Dahlia,Waller,41,Male,Production Technician II,Production       ,588,42,7560,Active,Contract,Dahlia.Waller@mwd.com,BPC,Gloria Taylor,,2018-09-12T18:30:00.000Z,Zone A,Full-Time,Unk,,Splicing,29-06-1984,MA,Technician,8439,Black,Divorced,Needs Improvement,2
2953,Cannon,Morgan,68,Male,Production Technician I,Production       ,570,60,7560,Active,Full-Time,Cannon.Morgan@mwd.com,TNS,Nicole Henderson,,2019-11-04T18:30:00.000Z,Zone B,Full-Time,Unk,,Field Operations,19-03-1957,MA,Technician,95723,Other,Widowed,Fully Meets,5
3748,Aron,Ali,56,Male,Production Technician I,Production       ,576,50.09,7513.08,Active,Full-Time,Aron.Ali@mwd.com,SVG,Shawn Mckay,,2019-04-05T18:30:00.000Z,Zone C,Part-Time,Unk,,General - Con,20-08-1969,MA,Laborer,96739,Other,Married,Fully Meets,1
3739,Amir,Melendez,74,Female,Production Technician II,Production       ,560,65.88,7510.56,Voluntarily Terminated,Full-Time,Amir.Melendez@mwd.com,EW,Rachel Pham,2021-03-21T18:30:00.000Z,2018-08-23T18:30:00.000Z,Zone B,Temporary,Voluntary,Themselves specific seem want seek hospital.,Field Operations,09-03-1951,MA,Tower Hand,80870,Asian,Divorced,Fully Meets,3
1619,Micheal,Drake,61,Female,Production Technician I,Production       ,570,53.44,7481.28,Leave of Absence,Part-Time,Micheal.Drake@mwd.com,SVG,Tammie Brown,2021-09-22T18:30:00.000Z,2018-12-31T18:30:00.000Z,Zone B,Full-Time,Retirement,Letter happen cut.,General - Con,08-08-1964,MA,Foreman,95591,Black,Widowed,Needs Improvement,3
3606,Clarissa,Winters,60,Male,Production Technician I,Production       ,570,52.62,7471.44,Voluntarily Terminated,Part-Time,Clarissa.Winters@mwd.com,SVG,Eric Gonzales,2023-01-19T18:30:00.000Z,2019-07-31T18:30:00.000Z,Zone C,Full-Time,Involuntary,Poor list reduce reality.,Billable Consultants,13-03-1965,MA,Engineer,95618,Other,Divorced,Fully Meets,3
2270,Dylan,Livingston,73,Female,IT Support,IT/IS,558,64.38,7468.56,Active,Contract,Dylan.Livingston@mwd.com,PYZ,David Rose PhD,2021-07-30T18:30:00.000Z,2019-04-15T18:30:00.000Z,Zone C,Part-Time,Resignation,Significant issue rich air race.,Project Management - Con,19-09-1952,MA,Manager,93829,Asian,Single,Fully Meets,4
2355,Karter,Perry,82,Male,Data Analyst,IT/IS,546,76.19,7466.28,Active,Contract,Karter.Perry@mwd.com,WBL,Elizabeth Gray,2019-04-22T18:30:00.000Z,2019-03-24T18:30:00.000Z,Zone C,Temporary,Retirement,Teacher often knowledge free best.,Field Operations,17-01-1943,MA,Civil Hand,91193,Asian,Single,Fully Meets,1
2392,Demetrius,Mendez,81,Male,Data Analyst,IT/IS,546,74.45,7445.4,Active,Full-Time,Demetrius.Mendez@mwd.com,BPC,Timothy Mason,,2019-08-04T18:30:00.000Z,Zone A,Full-Time,Unk,,People Services,27-09-1944,MA,Services,91306,Black,Single,Fully Meets,1
3124,Taliyah,Yang,34,Female,Production Technician I,Production       ,582,38.37,7444.44,Leave of Absence,Full-Time,Taliyah.Yang@mwd.com,WBL,Kristi Cox,2021-11-03T18:30:00.000Z,2019-01-04T18:30:00.000Z,Zone B,Part-Time,Resignation,Star idea alone.,Engineers,28-08-1991,MA,Technician,97060,White,Single,Fully Meets,5
3307,Quincy,Cardenas,47,Male,Production Technician I,Production       ,576,44.31,7443.72,Active,Full-Time,Quincy.Cardenas@mwd.com,PL,Henry Armstrong Jr.,,2019-06-20T18:30:00.000Z,Zone C,Full-Time,Unk,,Executive,18-10-1978,MA,Vp,96247,Asian,Married,Fully Meets,4
1077,Derek,Moreno,33,Female,Software Engineer,Software Engineering,582,37.96,7439.52,Active,Contract,Derek.Moreno@mwd.com,TNS,Allison Jacobs,,2019-02-01T18:30:00.000Z,Zone B,Temporary,Unk,,Wireless,10-05-1992,MA,Foreman,97585,Black,Single,Fully Meets,3
3694,Nickolas,West,64,Female,Production Technician II,Production       ,564,55.48,7433.76,Voluntarily Terminated,Full-Time,Nickolas.West@mwd.com,EW,Sue Harper,2022-04-15T18:30:00.000Z,2019-11-04T18:30:00.000Z,Zone A,Part-Time,Involuntary,Training civil attention exist matter water.,Field Operations,11-03-1961,MA,Specialist,94278,Hispanic,Married,PIP,4
3113,Giselle,Calderon,44,Female,Production Technician II,Production       ,576,42.67,7424.04,Active,Contract,Giselle.Calderon@mwd.com,TNS,Donna Duffy,2019-04-01T18:30:00.000Z,2019-02-02T18:30:00.000Z,Zone C,Full-Time,Voluntary,Stock indeed about brother campaign.,Project Management - Con,02-07-1981,MA,Coordinator,96092,White,Divorced,Fully Meets,4
3884,Gilberto,Macdonald,38,Female,IT Support,IT/IS,576,39.72,7388.64,Active,Full-Time,Gilberto.Macdonald@mwd.com,CCDR,Barbara Skinner,,2019-02-01T18:30:00.000Z,Zone B,Temporary,Unk,,Engineers,27-04-1987,MA,Engineer,96985,Black,Widowed,Fully Meets,3
1774,Regina,Garcia,36,Female,Production Technician I,Production       ,576,38.83,7377.96,Active,Full-Time,Regina.Garcia@mwd.com,MSC,Aaron Cochran,2023-02-05T18:30:00.000Z,2019-09-13T18:30:00.000Z,Zone B,Part-Time,Involuntary,Wear television particular.,Field Operations,24-09-1989,MA,Technician,96290,Asian,Widowed,Fully Meets,3
1432,Madeline,Bernard,34,Male,Production Technician II,Production       ,576,37.98,7367.76,Active,Contract,Madeline.Bernard@mwd.com,PYZ,Timothy Johnston,,2019-07-17T18:30:00.000Z,Zone A,Part-Time,Unk,,Project Management - Con,29-07-1991,MA,Administration,96784,White,Married,Exceeds,3
1327,Rhys,Lawson,65,Male,Sr. Network Engineer,Admin Offices,558,55.8,7365.6,Active,Part-Time,Rhys.Lawson@mwd.com,WBL,Lisa Mills,,2019-01-13T18:30:00.000Z,Zone B,Temporary,Unk,,Engineers,20-02-1960,MA,Engineer,93156,White,Single,Fully Meets,3
